rank,distance,filename
1,7.212270352740048,10_9_s.bmp
2,8.35583812922932,10_30_s.bmp
3,8.491206926250564,5_7_s.bmp
4,8.592776193384465,5_22_s.bmp
5,8.682510848094976,10_6_s.bmp
6,8.760560509052823,10_24_s.bmp
7,9.153871743298502,10_11_s.bmp
8,9.227004846366084,1_9_s.bmp
9,9.448760376986714,9_15_s.bmp
10,9.448760376986714,1_27_s.bmp
11,9.51734134720223,6_27_s.bmp
12,9.619200871015895,7_4_s.bmp
13,9.63415881799381,10_27_s.bmp
14,9.661358521512184,6_11_s.bmp
15,9.685082600606911,13_26_s.bmp
