rank,distance,filename
1,0.0,10_10_s.bmp
2,0.4719873868115514,10_12_s.bmp
3,0.4779864739392281,9_12_s.bmp
4,0.4901765248040217,10_14_s.bmp
5,0.5089210449084111,9_13_s.bmp
6,0.5140781416278498,9_7_s.bmp
7,0.5157850679489906,1_3_s.bmp
8,0.5264388425006576,1_2_s.bmp
9,0.5326071518662843,9_14_s.bmp
10,0.538121594398407,2_5_s.bmp
11,0.5386883031389091,9_6_s.bmp
12,0.5432499924328621,9_5_s.bmp
13,0.5522867889834324,2_7_s.bmp
14,0.5539115900121788,12_26_s.bmp
15,0.5548131793694927,10_26_s.bmp
