rank,distance,filename
1,0.0,10_10_s.bmp
2,0.5019154122589857,17_21_s.bmp
3,0.5172436620698723,17_18_s.bmp
4,0.5186487270304515,3_18_s.bmp
5,0.5189335917173394,6_29_s.bmp
6,0.5271913116481782,10_27_s.bmp
7,0.535101820095151,10_12_s.bmp
8,0.5378089790325549,19_4_s.bmp
9,0.5410933214328288,5_7_s.bmp
10,0.5420381997384573,16_11_s.bmp
11,0.5452314843965476,3_6_s.bmp
12,0.5455490332704941,7_30_s.bmp
13,0.5463878217401619,19_16_s.bmp
14,0.5520686039028491,6_28_s.bmp
15,0.5529058267053708,17_20_s.bmp
