rank,distance,filename
1,0.0,10_10_s.bmp
2,1.7329543447435107,10_12_s.bmp
3,1.9097727046187452,10_14_s.bmp
4,2.3594867540814186,10_29_s.bmp
5,2.6039686607193446,12_15_s.bmp
6,2.675418589966658,10_13_s.bmp
7,2.7881960625443813,10_6_s.bmp
8,2.825152615797884,19_23_s.bmp
9,2.8935971482385208,10_16_s.bmp
10,2.944054770935591,10_25_s.bmp
11,3.053174968502761,10_3_s.bmp
12,3.1065441884292944,1_3_s.bmp
13,3.190210063238416,9_14_s.bmp
14,3.2261641853830314,10_7_s.bmp
15,3.248581395927461,10_15_s.bmp
