rank,distance,filename
1,0.0,10_10_s.bmp
2,0.7637050615137277,10_11_s.bmp
3,0.7699426977182421,10_14_s.bmp
4,0.7785613841909618,10_12_s.bmp
5,0.7956613277089191,9_12_s.bmp
6,0.7959538943327514,10_7_s.bmp
7,0.7995044122189259,10_29_s.bmp
8,0.807452078895581,11_9_s.bmp
9,0.8094966295908157,10_20_s.bmp
10,0.813588707040811,9_13_s.bmp
11,0.8187677760563078,9_14_s.bmp
12,0.8421615846018915,5_17_s.bmp
13,0.8454102979572728,10_15_s.bmp
14,0.8643304602428885,11_27_s.bmp
15,0.8651599595366958,10_27_s.bmp
