rank,distance,filename
1,0.1003442061120152,10_30_s.bmp
2,0.10627251476153156,10_9_s.bmp
3,0.10767121774008526,10_7_s.bmp
4,0.10915916196316852,10_20_s.bmp
5,0.11142393650907269,10_29_s.bmp
6,0.11304922556725831,10_19_s.bmp
7,0.11719703639356983,10_28_s.bmp
8,0.11984662526208249,10_13_s.bmp
9,0.12030967972775379,10_8_s.bmp
10,0.12140946987582647,10_27_s.bmp
11,0.1276779916403068,10_25_s.bmp
12,0.1295051137622728,10_16_s.bmp
13,0.13034132081653968,10_24_s.bmp
14,0.13337696746093292,10_12_s.bmp
15,0.13455153831696864,10_17_s.bmp
