rank,distance,filename
1,0.0,10_10_s.bmp
2,8.872307293620192,9_13_s.bmp
3,8.929292702400424,11_9_s.bmp
4,9.414505235221883,1_1_s.bmp
5,9.635011692398438,17_19_s.bmp
6,9.697602363469185,2_26_s.bmp
7,9.785940946355678,10_20_s.bmp
8,9.792237388608656,10_26_s.bmp
9,9.843963460290206,17_17_s.bmp
10,9.859860956099027,2_28_s.bmp
11,9.861970269160475,9_12_s.bmp
12,9.93652778306272,10_15_s.bmp
13,9.974601274964098,3_2_s.bmp
14,9.999651963586228,2_24_s.bmp
15,10.130481447267885,11_6_s.bmp
