rank,distance,filename
1,0.0,10_10_s.bmp
2,11.15733461981706,9_6_s.bmp
3,11.719803233340603,10_26_s.bmp
4,11.73056379627066,2_18_s.bmp
5,11.989043162027546,2_16_s.bmp
6,12.079214465715173,9_8_s.bmp
7,12.112083974985872,10_7_s.bmp
8,12.325130880891265,1_6_s.bmp
9,12.34150160161546,10_1_s.bmp
10,12.383096694893572,1_4_s.bmp
11,12.567253554763798,2_7_s.bmp
12,12.62748680561116,1_28_s.bmp
13,12.663075690502222,12_24_s.bmp
14,12.738834406627205,2_23_s.bmp
15,12.766766309633962,12_21_s.bmp
