rank,distance,filename
1,0.2799881452279972,10_11_s.bmp
2,0.29385096220507173,10_23_s.bmp
3,0.2976938570816554,10_30_s.bmp
4,0.33411281636216184,10_6_s.bmp
5,0.3389400007990264,10_9_s.bmp
6,0.3499684081739399,10_18_s.bmp
7,0.40789713292110646,10_20_s.bmp
8,0.41728877688286675,10_19_s.bmp
9,0.42284133646515826,10_16_s.bmp
10,0.4251418543089352,10_7_s.bmp
11,0.4573696574653348,10_25_s.bmp
12,0.460690842308706,10_14_s.bmp
13,0.4661985554825929,10_31_s.bmp
14,0.47372512474997275,10_13_s.bmp
15,0.47800172362570154,10_22_s.bmp
