rank,distance,filename
1,0.0,10_10_s.bmp
2,0.14686484136857114,5_22_s.bmp
3,0.16539678295826965,10_12_s.bmp
4,0.16894904933545107,10_7_s.bmp
5,0.17468340728823645,9_12_s.bmp
6,0.17815128289083132,10_14_s.bmp
7,0.18381430255097553,10_29_s.bmp
8,0.19117504193051382,9_14_s.bmp
9,0.19266514040536936,10_11_s.bmp
10,0.19345573828300788,17_24_s.bmp
11,0.2039688668508197,19_25_s.bmp
12,0.20411747330334037,9_6_s.bmp
13,0.20711579168101232,2_5_s.bmp
14,0.20787816027038952,5_17_s.bmp
15,0.20940065506288852,2_23_s.bmp
