rank,distance,filename
1,0.0,10_10_s.bmp
2,12.265118980341608,1_27_s.bmp
3,12.265118980341608,9_15_s.bmp
4,12.493041631293496,10_6_s.bmp
5,12.494429338287901,10_1_s.bmp
6,12.5096909287705,10_14_s.bmp
7,12.97134000209035,10_15_s.bmp
8,13.124334517360985,10_5_s.bmp
9,13.310513292697836,9_19_s.bmp
10,13.413376620035352,2_7_s.bmp
11,13.551451663692472,9_23_s.bmp
12,13.71059428668715,9_20_s.bmp
13,13.767277562722539,18_30_s.bmp
14,13.76805518496123,9_11_s.bmp
15,13.823105200175448,2_28_s.bmp
