rank,distance,filename
1,0.0,10_10_s.bmp
2,0.7697342647054282,10_11_s.bmp
3,0.7764276648965297,10_14_s.bmp
4,0.7978468788209917,10_12_s.bmp
5,0.8145514507434921,9_12_s.bmp
6,0.8165155552997948,10_20_s.bmp
7,0.8204645542205987,11_9_s.bmp
8,0.8256693079730142,10_29_s.bmp
9,0.8362866507849077,9_13_s.bmp
10,0.8366552815652636,10_7_s.bmp
11,0.8465028173536806,9_14_s.bmp
12,0.8540036644773757,10_15_s.bmp
13,0.8630301170839341,5_17_s.bmp
14,0.8773728696789298,11_27_s.bmp
15,0.8798799379835478,10_23_s.bmp
