rank,distance,filename
1,0.0,10_10_s.bmp
2,10.974230418793368,13_1_s.bmp
3,11.075991391264896,10_21_s.bmp
4,11.5075876000972,10_11_s.bmp
5,11.522140466573834,10_23_s.bmp
6,11.565899918407801,9_7_s.bmp
7,11.72014688564148,1_1_s.bmp
8,11.819982352883015,12_24_s.bmp
9,11.830028204822806,11_5_s.bmp
10,11.839179077629378,2_28_s.bmp
11,11.839342716435098,2_25_s.bmp
12,11.88048440951251,12_21_s.bmp
13,11.885049524050032,10_26_s.bmp
14,11.940673422763634,2_26_s.bmp
15,11.9917278180352,11_27_s.bmp
